County,StateCode,Deaths,Population,Category
McDowell County, NC (37111),121,"45,075",Cancer
Macon County, NC (37113),94,"34,376",Cancer
Madison County, NC (37115),59,"21,340",Cancer
Martin County, NC (37117),62,"23,172",Cancer
Mecklenburg County, NC (37119),"1,342","1,054,835",Cancer
Mitchell County, NC (37121),44,"15,126",Cancer
Montgomery County, NC (37123),62,"27,418",Cancer
Moore County, NC (37125),249,"95,776",Cancer
Nash County, NC (37127),230,"94,005",Cancer
New Hanover County, NC (37129),447,"223,483",Cancer
Northampton County, NC (37131),54,"20,000",Cancer
Onslow County, NC (37133),316,"187,136",Cancer
Orange County, NC (37135),194,"141,796",Cancer
Pamlico County, NC (37137),37,"12,821",Cancer
Pasquotank County, NC (37139),99,"39,864",Cancer
Pender County, NC (37141),141,"59,090",Cancer
Perquimans County, NC (37143),42,"13,335",Cancer
Person County, NC (37145),103,"39,284",Cancer
Pitt County, NC (37147),241,"177,220",Cancer
Polk County, NC (37149),47,"20,334",Cancer
Randolph County, NC (37151),338,"143,416",Cancer
Richmond County, NC (37153),105,"44,939",Cancer
Robeson County, NC (37155),296,"133,235",Cancer
Rockingham County, NC (37157),245,"91,393",Cancer
Rowan County, NC (37159),325,"139,933",Cancer
Rutherford County, NC (37161),169,"66,421",Cancer
Sampson County, NC (37163),166,"63,124",Cancer
Scotland County, NC (37165),108,"35,244",Cancer
Stanly County, NC (37167),143,"60,791",Cancer
Stokes County, NC (37169),125,"46,097",Cancer
Surry County, NC (37171),172,"72,113",Cancer
Swain County, NC (37173),37,"14,346",Cancer
Transylvania County, NC (37175),88,"33,482",Cancer
Tyrrell County, NC (37177),10,"4,141",Cancer
Union County, NC (37179),303,"226,606",Cancer
Vance County, NC (37181),128,"44,244",Cancer
Wake County, NC (37183),"1,251","1,046,791",Cancer
Warren County, NC (37185),51,"19,907",Cancer
Washington County, NC (37187),38,"12,195",Cancer
Watauga County, NC (37189),62,"53,922",Cancer
Wayne County, NC (37191),280,"124,150",Cancer
Wilkes County, NC (37193),181,"68,740",Cancer
Wilson County, NC (37195),153,"81,661",Cancer
Yadkin County, NC (37197),83,"37,532",Cancer
Yancey County, NC (37199),48,"17,678",Cancer
Adams County, ND (38001),13,"2,305",Cancer
Barnes County, ND (38003),25,"10,926",Cancer
Benson County, ND (38005),10,"6,739",Cancer
Bottineau County, ND (38009),27,"6,579",Cancer
Burleigh County, ND (38015),148,"94,487",Cancer
Cass County, ND (38017),234,"175,249",Cancer
Cavalier County, ND (38019),12,"3,827",Cancer
Dickey County, ND (38021),15,"5,064",Cancer
Grand Forks County, ND (38035),98,"71,083",Cancer
LaMoure County, ND (38045),11,"4,111",Cancer
McHenry County, ND (38049),11,"5,963",Cancer
McLean County, ND (38055),21,"9,729",Cancer
Mercer County, ND (38057),17,"8,694",Cancer
Morton County, ND (38059),78,"30,809",Cancer
Mountrail County, ND (38061),12,"10,242",Cancer
Pembina County, ND (38067),11,"7,069",Cancer
Pierce County, ND (38069),10,"4,267",Cancer
Ramsey County, ND (38071),21,"11,547",Cancer
Ransom County, ND (38073),13,"5,404",Cancer
Richland County, ND (38077),33,"16,353",Cancer
Rolette County, ND (38079),28,"14,659",Cancer
Stark County, ND (38089),57,"31,199",Cancer
Stutsman County, ND (38093),42,"21,128",Cancer
Traill County, ND (38097),20,"8,030",Cancer
Walsh County, ND (38099),23,"10,904",Cancer
Ward County, ND (38101),76,"70,210",Cancer
Wells County, ND (38103),15,"4,098",Cancer
Williams County, ND (38105),50,"34,337",Cancer
Adams County, OH (39001),84,"27,907",Cancer
Allen County, OH (39003),238,"103,742",Cancer
Ashland County, OH (39005),111,"53,652",Cancer
Ashtabula County, OH (39007),262,"98,231",Cancer
Athens County, OH (39009),104,"66,186",Cancer
Auglaize County, OH (39011),96,"45,894",Cancer
Belmont County, OH (39013),188,"68,673",Cancer
Brown County, OH (39015),131,"43,759",Cancer
Butler County, OH (39017),714,"377,537",Cancer
Carroll County, OH (39019),63,"27,669",Cancer
Champaign County, OH (39021),104,"38,747",Cancer
Clark County, OH (39023),343,"134,786",Cancer
Clermont County, OH (39025),410,"203,022",Cancer
Clinton County, OH (39027),86,"41,902",Cancer
Columbiana County, OH (39029),289,"103,685",Cancer
Coshocton County, OH (39031),90,"36,602",Cancer
Crawford County, OH (39033),113,"42,083",Cancer
Cuyahoga County, OH (39035),"3,062","1,249,352",Cancer
Darke County, OH (39037),135,"51,778",Cancer
Defiance County, OH (39039),90,"38,158",Cancer
Delaware County, OH (39041),257,"196,463",Cancer
Erie County, OH (39043),194,"75,107",Cancer
Fairfield County, OH (39045),272,"152,597",Cancer
Fayette County, OH (39047),79,"28,676",Cancer
Franklin County, OH (39049),"1,938","1,264,518",Cancer
Fulton County, OH (39051),104,"42,514",Cancer
Gallia County, OH (39053),91,"30,015",Cancer
Geauga County, OH (39055),194,"94,060",Cancer
Greene County, OH (39057),299,"164,765",Cancer
Guernsey County, OH (39059),104,"39,063",Cancer
Hamilton County, OH (39061),"1,670","809,099",Cancer
Hancock County, OH (39063),158,"75,872",Cancer
Hardin County, OH (39065),85,"31,474",Cancer
Harrison County, OH (39067),35,"15,307",Cancer
Henry County, OH (39069),51,"27,629",Cancer
Highland County, OH (39071),91,"43,029",Cancer
Hocking County, OH (39073),61,"28,340",Cancer
Holmes County, OH (39075),78,"43,936",Cancer
Huron County, OH (39077),103,"58,439",Cancer
Jackson County, OH (39079),78,"32,505",Cancer
Jefferson County, OH (39081),208,"66,704",Cancer
Knox County, OH (39083),140,"60,814",Cancer
Lake County, OH (39085),565,"228,614",Cancer
Lawrence County, OH (39087),192,"60,872",Cancer
Licking County, OH (39089),365,"172,198",Cancer
Logan County, OH (39091),128,"45,165",Cancer
Lorain County, OH (39093),698,"306,365",Cancer
Lucas County, OH (39095),"1,001","432,488",Cancer
Madison County, OH (39097),90,"43,419",Cancer
Mahoning County, OH (39099),614,"230,008",Cancer
Marion County, OH (39101),180,"65,096",Cancer
Medina County, OH (39103),324,"177,221",Cancer
Meigs County, OH (39105),80,"23,125",Cancer
Mercer County, OH (39107),91,"40,909",Cancer
Miami County, OH (39109),244,"104,679",Cancer
Monroe County, OH (39111),38,"14,210",Cancer
Montgomery County, OH (39113),"1,265","531,239",Cancer
Morgan County, OH (39115),38,"14,804",Cancer
Morrow County, OH (39117),76,"35,036",Cancer
Muskingum County, OH (39119),212,"86,068",Cancer
Noble County, OH (39121),31,"14,294",Cancer
Ottawa County, OH (39123),126,"40,636",Cancer
Paulding County, OH (39125),40,"18,865",Cancer
Perry County, OH (39127),87,"35,927",Cancer
Pickaway County, OH (39129),146,"57,565",Cancer
Pike County, OH (39131),61,"28,160",Cancer
Portage County, OH (39133),342,"161,921",Cancer
Preble County, OH (39135),111,"41,247",Cancer
Putnam County, OH (39137),66,"34,056",Cancer
Richland County, OH (39139),303,"121,107",Cancer
Ross County, OH (39141),185,"77,000",Cancer
Sandusky County, OH (39143),158,"59,330",Cancer
Scioto County, OH (39145),188,"76,088",Cancer
Seneca County, OH (39147),133,"55,353",Cancer
Shelby County, OH (39149),122,"48,623",Cancer
Stark County, OH (39151),910,"373,612",Cancer
Summit County, OH (39153),"1,218","540,300",Cancer
Trumbull County, OH (39155),491,"201,825",Cancer
Tuscarawas County, OH (39157),216,"92,420",Cancer
Union County, OH (39159),85,"55,457",Cancer
Van Wert County, OH (39161),64,"28,362",Cancer
Vinton County, OH (39163),35,"12,921",Cancer
Warren County, OH (39165),381,"227,063",Cancer
Washington County, OH (39167),158,"60,610",Cancer
Wayne County, OH (39169),242,"116,470",Cancer
Williams County, OH (39171),102,"37,017",Cancer
Wood County, OH (39173),248,"130,219",Cancer
Wyandot County, OH (39175),56,"22,118",Cancer
Adair County, OK (40001),50,"22,098",Cancer
Atoka County, OK (40005),36,"13,810",Cancer
Beckham County, OK (40009),42,"22,519",Cancer
Blaine County, OK (40011),26,"9,643",Cancer
Bryan County, OK (40013),96,"45,573",Cancer
Caddo County, OK (40015),75,"29,557",Cancer
Canadian County, OK (40017),216,"136,532",Cancer
Carter County, OK (40019),111,"48,556",Cancer
Cherokee County, OK (40021),88,"48,700",Cancer
Choctaw County, OK (40023),44,"14,885",Cancer
Cleveland County, OK (40027),410,"278,655",Cancer
Coal County, OK (40029),16,"5,651",Cancer
Comanche County, OK (40031),214,"122,136",Cancer
Cotton County, OK (40033),25,"5,941",Cancer
Craig County, OK (40035),36,"14,625",Cancer
Creek County, OK (40037),185,"71,312",Cancer
Custer County, OK (40039),48,"29,293",Cancer
Delaware County, OK (40041),125,"41,598",Cancer
Dewey County, OK (40043),12,"4,819",Cancer
Ellis County, OK (40045),17,"4,080",Cancer
Garfield County, OK (40047),137,"62,603",Cancer
Garvin County, OK (40049),89,"27,838",Cancer
Grady County, OK (40051),104,"54,655",Cancer
Grant County, OK (40053),14,"4,465",Cancer
Greer County, OK (40055),18,"5,998",Cancer
Haskell County, OK (40061),37,"12,747",Cancer
Hughes County, OK (40063),50,"13,566",Cancer
Jackson County, OK (40065),49,"25,497",Cancer
Jefferson County, OK (40067),17,"6,230",Cancer
Johnston County, OK (40069),32,"11,087",Cancer
Kay County, OK (40071),115,"44,943",Cancer
Kingfisher County, OK (40073),31,"15,638",Cancer
Kiowa County, OK (40075),22,"9,077",Cancer
Latimer County, OK (40077),31,"10,414",Cancer
Le Flore County, OK (40079),105,"49,873",Cancer
Lincoln County, OK (40081),90,"35,129",Cancer
Logan County, OK (40083),72,"46,588",Cancer
Love County, OK (40085),33,"9,997",Cancer
McClain County, OK (40087),83,"38,682",Cancer
McCurtain County, OK (40089),81,"32,822",Cancer
McIntosh County, OK (40091),60,"19,815",Cancer
Major County, OK (40093),21,"7,772",Cancer
Marshall County, OK (40095),51,"16,191",Cancer
Mayes County, OK (40097),107,"40,920",Cancer
Murray County, OK (40099),39,"13,918",Cancer
Muskogee County, OK (40101),189,"69,477",Cancer
Noble County, OK (40103),24,"11,384",Cancer
Nowata County, OK (40105),33,"10,419",Cancer
Okfuskee County, OK (40107),40,"12,167",Cancer
Oklahoma County, OK (40109),"1,430","782,970",Cancer
Okmulgee County, OK (40111),128,"39,213",Cancer
Osage County, OK (40113),109,"47,806",Cancer
Ottawa County, OK (40115),101,"31,691",Cancer
Pawnee County, OK (40117),48,"16,485",Cancer
Payne County, OK (40119),105,"81,131",Cancer
Pittsburg County, OK (40121),123,"44,173",Cancer
Pontotoc County, OK (40123),76,"38,330",Cancer
Pottawatomie County, OK (40125),166,"72,290",Cancer
Pushmataha County, OK (40127),32,"11,057",Cancer
Rogers County, OK (40131),204,"91,766",Cancer
Seminole County, OK (40133),66,"25,207",Cancer
Sequoyah County, OK (40135),110,"41,294",Cancer
Stephens County, OK (40137),119,"44,090",Cancer
Texas County, OK (40139),40,"21,098",Cancer
Tillman County, OK (40141),21,"7,465",Cancer
Tulsa County, OK (40143),"1,190","642,940",Cancer
Wagoner County, OK (40145),122,"77,679",Cancer
Washington County, OK (40147),137,"52,087",Cancer
Washita County, OK (40149),26,"11,447",Cancer
Woods County, OK (40151),22,"9,201",Cancer
Woodward County, OK (40153),48,"20,814",Cancer
Baker County, OR (41001),47,"16,059",Cancer
Benton County, OR (41003),140,"89,385",Cancer
Clackamas County, OR (41005),830,"408,062",Cancer
Clatsop County, OR (41007),101,"38,632",Cancer
Columbia County, OR (41009),114,"50,785",Cancer
Coos County, OR (41011),194,"63,761",Cancer
Crook County, OR (41013),69,"22,570",Cancer
Curry County, OR (41015),93,"22,713",Cancer
Deschutes County, OR (41017),309,"181,307",Cancer
Douglas County, OR (41019),350,"108,457",Cancer
Grant County, OR (41023),14,"7,158",Cancer
Harney County, OR (41025),18,"7,292",Cancer
Hood River County, OR (41027),38,"23,232",Cancer
Jackson County, OR (41029),526,"216,527",Cancer
Jefferson County, OR (41031),55,"23,080",Cancer
Josephine County, OR (41033),301,"85,904",Cancer
Klamath County, OR (41035),162,"66,443",Cancer
Lake County, OR (41037),25,"7,837",Cancer
Lane County, OR (41039),760,"369,519",Cancer
Lincoln County, OR (41041),139,"47,806",Cancer
Linn County, OR (41043),290,"122,849",Cancer
Malheur County, OR (41045),55,"30,439",Cancer
Marion County, OR (41047),609,"336,316",Cancer
Morrow County, OR (41049),21,"11,274",Cancer
Multnomah County, OR (41051),"1,254","799,766",Cancer
Polk County, OR (41053),159,"81,823",Cancer
Tillamook County, OR (41057),85,"26,143",Cancer
Umatilla County, OR (41059),178,"76,456",Cancer
Union County, OR (41061),54,"26,087",Cancer
Wallowa County, OR (41063),11,"6,946",Cancer
Wasco County, OR (41065),77,"26,115",Cancer
Washington County, OR (41067),781,"582,779",Cancer
Yamhill County, OR (41071),207,"105,035",Cancer
Adams County, PA (42001),212,"102,180",Cancer
Allegheny County, PA (42003),"2,907","1,225,365",Cancer
Armstrong County, PA (42005),178,"66,486",Cancer
Beaver County, PA (42007),424,"167,429",Cancer
Bedford County, PA (42009),141,"48,325",Cancer
Berks County, PA (42011),871,"414,812",Cancer
Blair County, PA (42013),288,"124,650",Cancer
Bradford County, PA (42015),154,"60,770",Cancer
Bucks County, PA (42017),"1,318","626,399",Cancer
Butler County, PA (42019),398,"186,847",Cancer
Cambria County, PA (42021),379,"134,732",Cancer
Cameron County, PA (42023),17,"4,677",Cancer
Carbon County, PA (42025),162,"63,594",Cancer
Centre County, PA (42027),208,"161,464",Cancer
Chester County, PA (42029),909,"516,312",Cancer
Clarion County, PA (42031),105,"38,513",Cancer
Clearfield County, PA (42033),208,"80,596",Cancer
Clinton County, PA (42035),100,"39,233",Cancer
Columbia County, PA (42037),141,"66,420",Cancer
Crawford County, PA (42039),206,"86,257",Cancer
Cumberland County, PA (42041),489,"248,506",Cancer
Dauphin County, PA (42043),560,"273,707",Cancer
Delaware County, PA (42045),"1,221","563,402",Cancer
Elk County, PA (42047),100,"30,480",Cancer
Erie County, PA (42049),629,"276,207",Cancer
Fayette County, PA (42051),397,"132,733",Cancer
Forest County, PA (42053),17,"7,321",Cancer
Franklin County, PA (42055),322,"153,851",Cancer
Fulton County, PA (42057),43,"14,640",Cancer
Greene County, PA (42059),87,"37,197",Cancer
Huntingdon County, PA (42061),110,"45,634",Cancer
Indiana County, PA (42063),163,"86,364",Cancer
Jefferson County, PA (42065),106,"44,073",Cancer
Juniata County, PA (42067),60,"24,863",Cancer
Lackawanna County, PA (42069),558,"211,321",Cancer
Lancaster County, PA (42071),"1,086","538,500",Cancer
Lawrence County, PA (42073),256,"87,294",Cancer
Lebanon County, PA (42075),353,"138,863",Cancer
Lehigh County, PA (42077),704,"363,147",Cancer
Luzerne County, PA (42079),777,"316,383",Cancer
Lycoming County, PA (42081),270,"115,248",Cancer
Mc Kean County, PA (42083),106,"41,883",Cancer
Mercer County, PA (42085),296,"112,913",Cancer
Mifflin County, PA (42087),106,"46,342",Cancer
Monroe County, PA (42089),361,"166,098",Cancer
Montgomery County, PA (42091),"1,677","821,725",Cancer
Montour County, PA (42093),44,"18,343",Cancer
Northampton County, PA (42095),659,"302,294",Cancer
Northumberland County, PA (42097),267,"92,541",Cancer
Perry County, PA (42099),102,"45,820",Cancer
Philadelphia County, PA (42101),"3,171","1,567,872",Cancer
Pike County, PA (42103),127,"55,562",Cancer
Potter County, PA (42105),50,"16,885",Cancer
Schuylkill County, PA (42107),427,"143,573",Cancer
Snyder County, PA (42109),78,"40,468",Cancer
Somerset County, PA (42111),186,"75,061",Cancer
Sullivan County, PA (42113),17,"6,137",Cancer
Susquehanna County, PA (42115),116,"40,862",Cancer
Tioga County, PA (42117),90,"41,467",Cancer
Union County, PA (42119),70,"45,565",Cancer
Venango County, PA (42121),143,"52,582",Cancer
Warren County, PA (42123),122,"40,025",Cancer
Washington County, PA (42125),497,"207,981",Cancer
Wayne County, PA (42127),131,"50,710",Cancer
Westmoreland County, PA (42129),962,"355,458",Cancer
Wyoming County, PA (42131),74,"27,521",Cancer
York County, PA (42133),979,"443,744",Cancer
Bristol County, RI (44001),116,"49,067",Cancer
Kent County, RI (44003),401,"164,614",Cancer
Newport County, RI (44005),207,"82,784",Cancer
Providence County, RI (44007),"1,172","633,673",Cancer
Washington County, RI (44009),275,"126,288",Cancer
Abbeville County, SC (45001),75,"24,872",Cancer
Aiken County, SC (45003),379,"167,458",Cancer
Allendale County, SC (45005),24,"9,045",Cancer
Anderson County, SC (45007),465,"196,569",Cancer
Bamberg County, SC (45009),38,"14,434",Cancer
Barnwell County, SC (45011),61,"21,483",Cancer
Beaufort County, SC (45013),405,"183,149",Cancer
Berkeley County, SC (45015),348,"210,898",Cancer
Calhoun County, SC (45017),38,"14,796",Cancer
Charleston County, SC (45019),737,"396,484",Cancer
Cherokee County, SC (45021),111,"56,646",Cancer
Chester County, SC (45023),86,"32,181",Cancer
Chesterfield County, SC (45025),103,"46,013",Cancer
Clarendon County, SC (45027),82,"33,951",Cancer
Colleton County, SC (45029),111,"37,923",Cancer
Darlington County, SC (45031),167,"67,234",Cancer
Dillon County, SC (45033),71,"30,858",Cancer
Dorchester County, SC (45035),274,"153,773",Cancer
Edgefield County, SC (45037),59,"26,358",Cancer
Fairfield County, SC (45039),60,"22,653",Cancer
Florence County, SC (45041),277,"138,742",Cancer
Georgetown County, SC (45043),164,"61,399",Cancer
Greenville County, SC (45045),916,"498,766",Cancer
Greenwood County, SC (45047),169,"70,133",Cancer
Hampton County, SC (45049),50,"19,922",Cancer
Horry County, SC (45051),798,"322,342",Cancer
Jasper County, SC (45053),43,"28,465",Cancer
Kershaw County, SC (45055),157,"64,097",Cancer
Lancaster County, SC (45057),188,"89,594",Cancer
Laurens County, SC (45059),148,"66,777",Cancer
Lee County, SC (45061),62,"17,635",Cancer
Lexington County, SC (45063),550,"286,196",Cancer
McCormick County, SC (45065),30,"9,643",Cancer
Marion County, SC (45067),72,"31,726",Cancer
Marlboro County, SC (45069),73,"26,945",Cancer
Newberry County, SC (45071),103,"38,079",Cancer
Oconee County, SC (45073),200,"76,355",Cancer
Orangeburg County, SC (45075),214,"87,903",Cancer
Pickens County, SC (45077),252,"122,863",Cancer
Richland County, SC (45079),646,"409,549",Cancer
Saluda County, SC (45081),55,"20,197",Cancer
Spartanburg County, SC (45083),611,"301,463",Cancer
Sumter County, SC (45085),233,"107,396",Cancer
Union County, SC (45087),93,"27,673",Cancer
Williamsburg County, SC (45089),81,"31,955",Cancer
York County, SC (45091),477,"258,526",Cancer
Beadle County, SD (46005),39,"18,101",Cancer
Bon Homme County, SD (46009),18,"6,984",Cancer
Brookings County, SD (46011),44,"34,135",Cancer
Brown County, SD (46013),83,"39,128",Cancer
Brule County, SD (46015),13,"5,238",Cancer
Butte County, SD (46019),23,"10,205",Cancer
Charles Mix County, SD (46023),25,"9,396",Cancer
Clay County, SD (46027),26,"14,086",Cancer
Codington County, SD (46029),74,"28,063",Cancer
Custer County, SD (46033),30,"8,596",Cancer
Davison County, SD (46035),54,"19,903",Cancer
Day County, SD (46037),16,"5,571",Cancer
Deuel County, SD (46039),13,"4,231",Cancer
Fall River County, SD (46047),30,"6,849",Cancer
Grant County, SD (46051),14,"7,148",Cancer
Gregory County, SD (46053),13,"4,171",Cancer
Hamlin County, SD (46057),15,"6,028",Cancer
Hughes County, SD (46065),38,"17,600",Cancer
Hutchinson County, SD (46067),13,"7,368",Cancer
Jackson County, SD (46071),12,"3,326",Cancer
Kingsbury County, SD (46077),18,"5,001",Cancer
Lake County, SD (46079),31,"12,909",Cancer
Lawrence County, SD (46081),47,"25,281",Cancer
Lincoln County, SD (46083),59,"54,469",Cancer
McCook County, SD (46087),21,"5,625",Cancer
Marshall County, SD (46091),16,"4,801",Cancer
Meade County, SD (46093),58,"27,693",Cancer
Miner County, SD (46097),12,"2,281",Cancer
Minnehaha County, SD (46099),299,"187,318",Cancer
Moody County, SD (46101),11,"6,505",Cancer
Pennington County, SD (46103),200,"109,372",Cancer
Roberts County, SD (46109),20,"10,255",Cancer
Shannon County, SD (46113),15,"14,415",Cancer
Spink County, SD (46115),16,"6,420",Cancer
Todd County, SD (46121),16,"10,155",Cancer
Tripp County, SD (46123),17,"5,492",Cancer
Turner County, SD (46125),18,"8,317",Cancer
Union County, SD (46127),31,"14,934",Cancer
Walworth County, SD (46129),10,"5,610",Cancer
Yankton County, SD (46135),44,"22,616",Cancer
Anderson County, TN (47001),160,"75,936",Cancer
Bedford County, TN (47003),116,"47,484",Cancer
Benton County, TN (47005),74,"16,014",Cancer
Bledsoe County, TN (47007),25,"14,675",Cancer
Blount County, TN (47009),302,"128,670",Cancer
Bradley County, TN (47011),220,"104,490",Cancer
Campbell County, TN (47013),126,"39,714",Cancer
Cannon County, TN (47015),28,"14,027",Cancer
Carroll County, TN (47017),99,"28,092",Cancer
Carter County, TN (47019),141,"56,502",Cancer
Cheatham County, TN (47021),84,"39,880",Cancer
Chester County, TN (47023),41,"17,453",Cancer
Claiborne County, TN (47025),90,"31,757",Cancer
Clay County, TN (47027),18,"7,752",Cancer
Cocke County, TN (47029),110,"35,219",Cancer
Coffee County, TN (47031),124,"54,682",Cancer
Crockett County, TN (47033),41,"14,411",Cancer
Cumberland County, TN (47035),185,"58,655",Cancer
Davidson County, TN (47037),"1,108","684,410",Cancer
Decatur County, TN (47039),32,"11,769",Cancer
DeKalb County, TN (47041),47,"19,361",Cancer
Dickson County, TN (47043),136,"52,170",Cancer
Dyer County, TN (47045),127,"37,708",Cancer
Fayette County, TN (47047),96,"39,590",Cancer
Fentress County, TN (47049),63,"18,033",Cancer
Franklin County, TN (47051),113,"41,700",Cancer
Gibson County, TN (47053),123,"49,401",Cancer
Giles County, TN (47055),72,"29,307",Cancer
Grainger County, TN (47057),73,"23,072",Cancer
Greene County, TN (47059),211,"68,615",Cancer
Grundy County, TN (47061),53,"13,389",Cancer
Hamblen County, TN (47063),151,"63,785",Cancer
Hamilton County, TN (47065),727,"357,738",Cancer
Hancock County, TN (47067),16,"6,577",Cancer
Hardeman County, TN (47069),61,"25,435",Cancer
Hardin County, TN (47071),72,"25,679",Cancer
Hawkins County, TN (47073),176,"56,563",Cancer
Haywood County, TN (47075),41,"17,853",Cancer
Henderson County, TN (47077),82,"27,822",Cancer
Henry County, TN (47079),97,"32,310",Cancer
Hickman County, TN (47081),49,"24,295",Cancer
Houston County, TN (47083),22,"8,134",Cancer
Humphreys County, TN (47085),44,"18,347",Cancer
Jackson County, TN (47087),29,"11,566",Cancer
Jefferson County, TN (47089),133,"53,535",Cancer
Johnson County, TN (47091),65,"17,754",Cancer
Knox County, TN (47093),886,"456,132",Cancer
Lake County, TN (47095),11,"7,560",Cancer
Lauderdale County, TN (47097),76,"26,773",Cancer
Lawrence County, TN (47099),117,"43,081",Cancer
Lewis County, TN (47101),26,"11,904",Cancer
Lincoln County, TN (47103),93,"33,645",Cancer
Loudon County, TN (47105),159,"51,454",Cancer
McMinn County, TN (47107),139,"52,850",Cancer
McNairy County, TN (47109),76,"25,935",Cancer
Macon County, TN (47111),61,"23,450",Cancer
Madison County, TN (47113),231,"97,663",Cancer
Marion County, TN (47115),84,"28,446",Cancer
Marshall County, TN (47117),70,"31,915",Cancer
Maury County, TN (47119),214,"89,981",Cancer
Meigs County, TN (47121),41,"12,005",Cancer
Monroe County, TN (47123),135,"45,970",Cancer
Montgomery County, TN (47125),283,"195,734",Cancer
Moore County, TN (47127),15,"6,323",Cancer
Morgan County, TN (47129),58,"21,554",Cancer
Obion County, TN (47131),94,"30,578",Cancer
Overton County, TN (47133),83,"22,051",Cancer
Perry County, TN (47135),31,"7,964",Cancer
Pickett County, TN (47137),16,"5,142",Cancer
Polk County, TN (47139),59,"16,772",Cancer
Putnam County, TN (47141),163,"75,931",Cancer
Rhea County, TN (47143),99,"32,442",Cancer
Roane County, TN (47145),161,"52,874",Cancer
Robertson County, TN (47147),154,"69,165",Cancer
Rutherford County, TN (47149),430,"308,251",Cancer
Scott County, TN (47151),62,"21,947",Cancer
Sequatchie County, TN (47153),35,"14,897",Cancer
Sevier County, TN (47155),234,"96,673",Cancer
Shelby County, TN (47157),"1,800","934,603",Cancer
Smith County, TN (47159),35,"19,447",Cancer
Stewart County, TN (47161),36,"13,182",Cancer
Sullivan County, TN (47163),414,"156,667",Cancer
Sumner County, TN (47165),366,"180,063",Cancer
Tipton County, TN (47167),133,"61,303",Cancer
Trousdale County, TN (47169),19,"8,271",Cancer
Unicoi County, TN (47171),53,"17,719",Cancer
Union County, TN (47173),40,"19,140",Cancer
Van Buren County, TN (47175),20,"5,689",Cancer
Warren County, TN (47177),98,"40,516",Cancer
Washington County, TN (47179),287,"127,440",Cancer
Wayne County, TN (47181),38,"16,713",Cancer
Weakley County, TN (47183),88,"33,507",Cancer
White County, TN (47185),86,"26,653",Cancer
Williamson County, TN (47187),282,"219,107",Cancer
Wilson County, TN (47189),256,"132,781",Cancer
Anderson County, TX (48001),147,"57,734",Cancer
Andrews County, TX (48003),26,"17,760",Cancer
Angelina County, TX (48005),188,"87,791",Cancer
Aransas County, TX (48007),83,"25,721",Cancer
Archer County, TX (48009),26,"8,703",Cancer
Atascosa County, TX (48013),80,"48,797",Cancer
Austin County, TX (48015),62,"29,758",Cancer
Bailey County, TX (48017),11,"7,181",Cancer
Bandera County, TX (48019),61,"21,776",Cancer
Bastrop County, TX (48021),157,"82,733",Cancer
Baylor County, TX (48023),17,"3,697",Cancer
Bee County, TX (48025),54,"32,750",Cancer
Bell County, TX (48027),467,"340,411",Cancer
Bexar County, TX (48029),"2,755","1,928,680",Cancer
Blanco County, TX (48031),32,"11,392",Cancer
Bosque County, TX (48035),48,"18,097",Cancer
Bowie County, TX (48037),215,"93,860",Cancer
Brazoria County, TX (48039),561,"354,195",Cancer
Brazos County, TX (48041),215,"220,417",Cancer
Brewster County, TX (48043),17,"9,200",Cancer
Brooks County, TX (48047),14,"7,214",Cancer
Brown County, TX (48049),101,"38,271",Cancer
Burleson County, TX (48051),49,"17,760",Cancer
Burnet County, TX (48053),96,"46,243",Cancer
Caldwell County, TX (48055),70,"41,161",Cancer
Calhoun County, TX (48057),47,"21,965",Cancer
Callahan County, TX (48059),43,"13,820",Cancer
Cameron County, TX (48061),515,"422,135",Cancer
Camp County, TX (48063),36,"12,867",Cancer
Carson County, TX (48065),10,"6,057",Cancer
Cass County, TX (48067),82,"30,375",Cancer
Castro County, TX (48069),10,"7,669",Cancer
Chambers County, TX (48071),68,"39,899",Cancer
Cherokee County, TX (48073),104,"51,668",Cancer
Childress County, TX (48075),13,"7,052",Cancer
Clay County, TX (48077),29,"10,193",Cancer
Coke County, TX (48081),13,"3,264",Cancer
Coleman County, TX (48083),23,"8,420",Cancer
Collin County, TX (48085),966,"939,585",Cancer
Colorado County, TX (48089),48,"21,019",Cancer
Comal County, TX (48091),247,"134,788",Cancer
Comanche County, TX (48093),29,"13,484",Cancer
Cooke County, TX (48097),72,"39,266",Cancer
Coryell County, TX (48099),110,"74,686",Cancer
Crosby County, TX (48107),11,"5,992",Cancer
Dallas County, TX (48113),"3,309","2,574,984",Cancer
Dawson County, TX (48115),25,"13,111",Cancer
Deaf Smith County, TX (48117),33,"18,830",Cancer
Delta County, TX (48119),17,"5,215",Cancer
Denton County, TX (48121),832,"806,180",Cancer
DeWitt County, TX (48123),70,"20,865",Cancer
Dimmit County, TX (48127),17,"10,794",Cancer
Donley County, TX (48129),11,"3,405",Cancer
Duval County, TX (48131),29,"11,428",Cancer
Eastland County, TX (48133),50,"18,274",Cancer
Ector County, TX (48135),199,"157,462",Cancer
Ellis County, TX (48139),271,"168,499",Cancer
El Paso County, TX (48141),"1,013","837,918",Cancer
Erath County, TX (48143),70,"41,659",Cancer
Falls County, TX (48145),48,"17,273",Cancer
Fannin County, TX (48147),83,"34,031",Cancer
Fayette County, TX (48149),63,"25,149",Cancer
